Name , Birth Month , Birth Day , Birth Year , Birth City , Birth State , Dead , Death Date , Age
Rusi Modi , November , 11 , 1924 , Bombay (now Mumbai) , Maharashtra , 1 , May 17 1996 , 72  years 0 days
Nawab of Pataudi , March , 16 , 1910 , Pataudi , Punjab , 1 , January 5 1952 , 42  years 0 days
Sadu Shinde , August , 18 , 1923 , Bombay (now Mumbai) , Maharashtra , 1 , June 22 1955 , 32  years 0 days
Chandu Sarwate , July , 22 , 1920 , Sagor , Madhya Pradesh , 1 , December 23 2003 , 83  years 0 days
Ranga Sohoni , March , 5 , 1918 , Nimbahera , Rajasthan , 1 , May 19 1993 , 75  years 0 days
Hemu Adhikari , July , 31 , 1919 , Poona (now Pune) , Maharashtra , 1 , October 25 2003 , 84  years 0 days
Jenni Irani , August , 18 , 1923 , Karachi , Sind , 1 , February 25 1982 , 59  years 0 days
Gogumal Kishenchand , April , 14 , 1925 , Karachi , Sind , 1 , April 16 1997 , 72  years 0 days
Khandu Rangnekar , June , 27 , 1917 , Bombay (now Mumbai) , Maharashtra , 1 , October 11 1984 , 67  years 0 days
Amir Elahi , September , 1 , 1908 , Lahore , Punjab , 1 , December 28 1980 , 72  years 0 days
Dattu Phadkar , December , 12 , 1925 , Kolhapur , Maharashtra , 1 , March 17 1985 , 60  years 0 days
Kanwar Rai Singh , February , 24 , 1922 , Darkati , Punjab , 1 , November 12 1993 , 71  years 0 days
Khokhan Sen , May , 31 , 1926 , Comilla , (now Bangladesh) , 1 , January 27 1970 , 44  years 0 days
Commandur Rangachari , April , 14 , 1916 , Mamandur , Madras , 1 , October 9 1993 , 77  years 0 days
KC Ibrahim , January , 26 , 1919 , Bombay (now Mumbai) , Maharashtra , 1 , November 12 2007 , 88  years 0 days
Keki Tarapore , December , 17 , 1910 , Bombay (now Mumbai) , Maharashtra , 1 , June 15 1986 , 76  years 0 days
Polly Umrigar , March , 28 , 1926 , Sholapur , Maharashtra , 1 , November 7 2006 , 80  years 0 days
Mantu Banerjee , November , 1 , 1919 , Calcutta (now Kolkata) , Bengal , 1 , September 14 1992 , 73  years 0 days
Ghulam Ahmed , July , 4 , 1922 , Hyderabad , Andhra Pradesh , 1 , October 28 1998 , 76  years 0 days
Nirode Chowdhury , May , 23 , 1923 , Jamshedpur , Bihar (now Jharkhand) , 1 , December 14 1979 , 56  years 0 days
